 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.27972537    -0.02641588

 Atomic coordinates:
  1    -4.55213589     6.15612025     3.34211488
  2    -3.46310424     6.01322919     1.73551337
  3    -5.86391247     7.50119343     2.99345768
  4     3.06457319    -1.08174472    -9.03713027
  5     3.97914642    -0.16814821    -7.61176301
  6     1.21348980    -0.58621842    -8.80857601
  7    -1.26041600     0.94608508     1.25279749
  8    -2.38630124    -0.37314213     0.39370589
  9    -1.89137962     2.61735109     0.49311574
 10    -1.39861558    -4.10059976    -4.73721680
 11     0.47654718    -4.46014346    -4.80783794
 12    -1.72850179    -2.86607976    -6.19612028
 13    -0.16885359     0.32649828     6.08108688
 14    -0.56760492     0.35875641     4.18639593
 15    -1.25963357    -1.12866635     6.79552784
 16    -4.14669167    -2.93737094    -0.70814173
 17    -5.82459945    -2.01669120    -1.10157091
 18    -3.44360974    -3.41309607    -2.43168935
 19    -2.11788995    -0.16132431    -8.07087956
 20    -2.65361319     1.21021050    -6.81166969
 21    -3.09828685     0.11479526    -9.67627937
 22     6.36772903    -4.57963377     0.37612374
 23     5.41404069    -4.74012641    -1.29690644
 24     5.03699167    -4.21254033     1.75493455
 25    -1.48234226    -6.04492675     2.37063121
 26    -2.61599916    -4.93344455     1.26003702
 27    -0.77839305    -7.39557768     1.26726276
 28     5.19669590     0.53482157    -4.70432761
 29     7.00089468     0.56873639    -3.92215338
 30     4.18907195     1.40970684    -3.32952513
 31    -7.04808191     1.51535703     3.35149724
 32    -6.24113402     3.29571681     3.38902817
 33    -5.89873256     0.38526455     4.37280852
 34    -3.06421846    -3.75836590     6.78449872
 35    -2.77162489    -4.76375805     5.18666990
 36    -3.70967387    -4.96732956     8.08368506
 37     8.31821311     0.16236414    -0.45433692
 38     6.65290326     1.05535425    -0.13462017
 39     7.96472258    -1.69412171     0.02648932
 40     2.69939671     6.96880727     1.71367010
 41     1.72903096     6.63632012     3.35509433
 42     3.88886360     8.38233341     2.10494820
 43    -1.96740984     5.65070687    -0.85023540
 44    -0.30408121     6.56923360    -0.51461341
 45    -2.59228339     6.23931515    -2.55822027
 46    -8.21778668     0.08851040    -1.33571616
 47    -8.76540420     1.62619044    -2.37379247
 48    -8.29363980     0.68370811     0.49329580
 49     3.47798559     2.28338720    -0.20337310
 50     3.26030943     4.02500252     0.57771463
 51     1.83042339     1.39836478     0.09603092
 52     2.80664553    -3.53438491     3.83696974
 53     1.14320741    -4.40400603     3.52687242
 54     2.29497328    -1.84018325     4.62246926
 55     4.11718730    -4.56088686    -4.46623489
 56     4.33405433    -2.63774420    -4.47278707
 57     4.43032038    -5.09568876    -6.26247927
 58     0.07052638     5.61218733     5.72638277
 59     0.14957508     3.74680426     6.12973246
 60    -1.75467423     5.96446745     5.25211946

 Atomic and electronic forces:
  1    -0.00547273     0.00260421    -0.00535104     0.00136659    -0.00129291     0.00823868
  2    -0.00450110     0.00044326     0.00504366    -0.00145349     0.00077802    -0.00457598
  3     0.00433384    -0.00272271     0.00351099    -0.00005562    -0.00000485    -0.00433565
  4    -0.01585932     0.00727252     0.00529553     0.00393631    -0.00352740    -0.00151966
  5     0.00665286    -0.00317102    -0.00107936    -0.00227111     0.00164166     0.00046496
  6     0.00808519    -0.00680903    -0.00550039    -0.00233208     0.00247846     0.00106722
  7    -0.01614457     0.00529458    -0.01782615     0.00301770    -0.00413363     0.00520439
  8     0.00442975    -0.00649459     0.00675043    -0.00113786     0.00263814    -0.00240192
  9     0.00892406    -0.00417633     0.00692319    -0.00198427     0.00223654    -0.00357498
 10    -0.00208540     0.01105594    -0.01283993     0.00209491    -0.00548939     0.00061592
 11     0.00339307    -0.00416837     0.00408382    -0.00117650     0.00219309    -0.00021381
 12     0.00127890    -0.00691711     0.00621295    -0.00135687     0.00337647     0.00011157
 13    -0.00630032    -0.00707003     0.00265893     0.00138913    -0.00172197     0.00301892
 14    -0.00006226     0.00457531     0.00141902    -0.00090965     0.00120295    -0.00182073
 15     0.00716537     0.00807295    -0.00410183    -0.00046973     0.00088050    -0.00134732
 16    -0.01508817     0.01346400     0.00274484     0.00072239    -0.00552174     0.00305564
 17     0.00624058    -0.00605274     0.00650230     0.00015774     0.00324285    -0.00183544
 18     0.00890474    -0.00726657    -0.00504792    -0.00059683     0.00304064    -0.00109252
 19    -0.00437724     0.01660295     0.01526498     0.00477202    -0.00920138    -0.00319117
 20     0.00526807    -0.01491105    -0.01464423    -0.00273238     0.00524047     0.00122507
 21    -0.00007629    -0.00118584    -0.00117915    -0.00157983     0.00394032     0.00243042
 22    -0.01096960     0.00613317    -0.00316156     0.00178077    -0.00171312     0.00092694
 23     0.00464765    -0.00304597     0.00696380    -0.00099317     0.00104971    -0.00041193
 24     0.00764385    -0.00426350    -0.00510325    -0.00087020     0.00091411    -0.00062625
 25    -0.00874678     0.01171525     0.00882757     0.00082888    -0.00263930     0.00169303
 26     0.00186750    -0.00249333    -0.00210709    -0.00042062     0.00170985    -0.00104944
 27     0.00342017    -0.00792553    -0.00762848    -0.00042539     0.00127238    -0.00064173
 28     0.02402306     0.00226738     0.01077388     0.00449760    -0.00263145     0.00044178
 29    -0.01824725    -0.00470233    -0.01328170    -0.00182296     0.00091683    -0.00026612
 30    -0.00479132     0.00253597     0.00411446    -0.00263693     0.00146634    -0.00069083
 31     0.01031786     0.01981826     0.00064881    -0.00077548    -0.00352828     0.00557638
 32    -0.00620303    -0.01759249     0.00449286     0.00014113     0.00151330    -0.00343157
 33    -0.00288300     0.00066263     0.00006341     0.00004071     0.00149078    -0.00222947
 34    -0.00339618     0.00650458     0.00258886     0.00044564    -0.00187693     0.00218453
 35     0.00391297    -0.00480744    -0.00561270    -0.00026566     0.00110550    -0.00103877
 36    -0.00114351    -0.00292222     0.00354767    -0.00012693     0.00079386    -0.00091387
 37    -0.00729630    -0.01289618     0.00062631     0.00261888    -0.00128449     0.00100763
 38     0.00083289     0.00281123     0.00337647    -0.00158326     0.00076872    -0.00074375
 39     0.00656684     0.01007461    -0.00261933    -0.00112775     0.00071972    -0.00048645
 40    -0.00749382     0.00116418    -0.00878920     0.00457700    -0.00023080     0.00422207
 41     0.00068539    -0.00440834     0.00510112    -0.00178050     0.00018759    -0.00222107
 42     0.00617121     0.00382803     0.00141052    -0.00200371    -0.00020930    -0.00166528
 43     0.00036565     0.00617088    -0.00922961     0.00699016    -0.00253273     0.01044666
 44    -0.00000636    -0.00445146     0.00127528    -0.00349124     0.00037080    -0.00374197
 45     0.00404998    -0.00082494     0.00432352    -0.00369445     0.00047410    -0.00447554
 46    -0.00657758     0.02322943    -0.02060952    -0.00296311    -0.00756293     0.00508033
 47     0.00344372    -0.02013020     0.00913190     0.00257187     0.00402255    -0.00262667
 48     0.00417802    -0.00533189     0.00790268     0.00117351     0.00283120    -0.00278093
 49     0.01173445     0.00335460    -0.01059166     0.00455250    -0.00234998     0.00296789
 50     0.00343043     0.00489091     0.00289333    -0.00237219     0.00081931    -0.00178749
 51    -0.01245085    -0.00772473     0.00877153    -0.00216951     0.00160913    -0.00183952
 52    -0.00252913     0.02192739     0.00455646     0.00151316    -0.00189669     0.00175850
 53    -0.00538291    -0.01155211    -0.00345530    -0.00065150     0.00110242    -0.00091751
 54     0.00925675    -0.01083779    -0.00015412    -0.00081994     0.00092129    -0.00109527
 55    -0.00720158     0.00999653     0.00109427     0.00236129    -0.00276736     0.00033088
 56     0.00378407    -0.00568410    -0.00042572    -0.00157375     0.00149988    -0.00021228
 57     0.00247274    -0.00193349    -0.00174601    -0.00110437     0.00130607     0.00005164
 58    -0.00292844     0.00802097    -0.00402513     0.00213141    -0.00067191     0.00421459
 59     0.00198843    -0.00888002     0.00469137    -0.00092171     0.00055942    -0.00187610
 60    -0.00125499    -0.00113829     0.00252366    -0.00097741     0.00036874    -0.00264219
