 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.23982696    -0.02697844

 Atomic coordinates:
  1    -4.79726906     6.36743001    -0.40073736
  2    -3.49268838     5.69112455    -1.59261870
  3    -5.92877930     7.48474345    -1.35430035
  4     1.51626838    -1.10794081    -7.34910306
  5     2.81811036     0.21526781    -6.88490193
  6    -0.19841012    -0.17675643    -7.17945606
  7     1.25599006     1.49482384     1.94720329
  8    -0.23366703     0.27847692     1.57695330
  9     2.51691345     0.26202576     2.64719727
 10    -4.62926589    -4.40457940    -2.68433707
 11    -5.47598557    -5.89832076    -3.51029265
 12    -5.77613849    -2.85818455    -3.33141761
 13     0.68561004    -2.73791976     7.77917390
 14     0.32197910    -1.48052144     9.15438430
 15    -0.28631786    -4.33348579     8.01868259
 16    -2.52020448    -1.82826227     0.94343979
 17    -3.72047879    -0.33934812     1.12295224
 18    -3.41074504    -3.04003612    -0.18323678
 19    -3.21929311     1.27818943    -7.03299881
 20    -4.59959815     0.49497956    -5.85829245
 21    -4.17968893     2.16791860    -8.41876487
 22     4.44213544    -2.21978855    -1.85100649
 23     3.05321320    -3.46883465    -2.13771862
 24     4.41157547    -1.95924214     0.06672484
 25     0.45532748    -6.22411726     1.74571393
 26    -0.97397594    -4.90978176     1.83427847
 27     0.81036940    -6.35566715    -0.15233878
 28     5.40619175     2.09478026    -4.80960923
 29     5.60224738     0.35094543    -3.96618958
 30     4.85413764     3.28927795    -3.42730881
 31    -6.35380395     1.31119972     1.32456190
 32    -5.99070299     3.18225194     1.12078365
 33    -8.12562427     1.16253900     1.98460477
 34    -2.30807139    -7.13367335     7.25797848
 35    -3.53850531    -6.08022415     6.20565679
 36    -1.33785915    -8.38745629     6.26455285
 37     9.12907744    -3.26663930     3.55528505
 38     9.63723284    -3.68078442     1.71562567
 39     7.17753843    -3.39747539     3.77298843
 40     3.29243385     8.16889764     3.58667418
 41     1.54838450     7.38397875     3.54621760
 42     3.24284500     9.49614303     5.04294714
 43    -0.87489760     4.59590025    -3.17808961
 44    -1.19043057     3.34113971    -4.59320704
 45     0.93833815     4.58745724    -2.75053705
 46    -6.95840642     0.01563367    -3.69078218
 47    -7.11752918     0.51057688    -1.79767466
 48    -8.77577799     0.36039548    -4.32066369
 49     3.73533017     5.37914088    -0.87004323
 50     4.16969741     6.87803733     0.21646905
 51     2.88779593     4.20639290     0.35841375
 52     3.81625341    -2.89504044     3.75636325
 53     3.10447373    -4.59379354     3.23484279
 54     2.75508386    -2.60351388     5.35178238
 55     0.42237390    -4.84967348    -3.46653480
 56    -1.35572635    -4.19559382    -3.42261392
 57     1.31798754    -3.86608700    -4.81562255
 58    -1.32389514     5.93792559     3.50005004
 59    -0.88529903     4.15059466     2.94765460
 60    -2.85539886     6.50017065     2.49898175

 Atomic and electronic forces:
  1    -0.01271526    -0.01383989     0.02946357     0.00565802     0.00356254     0.00183206
  2     0.02144329    -0.00420424    -0.01362946    -0.00281607    -0.00134700    -0.00048999
  3    -0.00985943     0.01591913    -0.01319619    -0.00254545    -0.00235389    -0.00069885
  4    -0.02362635     0.01609226     0.01027589     0.00346983    -0.00037045    -0.00090453
  5     0.00736147    -0.00282534    -0.00094225    -0.00155912     0.00003384     0.00033476
  6     0.01609744    -0.01335989    -0.00701933    -0.00217403     0.00011872     0.00058927
  7    -0.02410845    -0.01477387    -0.00475025     0.00338622     0.00023670     0.00110349
  8     0.00922017     0.01391798    -0.00242651    -0.00206668     0.00002031    -0.00067683
  9     0.01542633     0.00061372     0.00772938    -0.00144941     0.00001286    -0.00049862
 10    -0.05098810     0.03758467    -0.02966678     0.00671894    -0.00311354     0.00041313
 11     0.00720546    -0.00663034     0.00342928    -0.00288152     0.00209519     0.00007918
 12     0.03780201    -0.03319741     0.02120996    -0.00400179     0.00149833     0.00004759
 13     0.01302160     0.01876598    -0.00768510     0.00219832    -0.00048048     0.00163320
 14    -0.00256669    -0.00662243     0.00054598    -0.00100771     0.00013546    -0.00087463
 15    -0.01055788    -0.01289560     0.00690459    -0.00107682     0.00038589    -0.00088421
 16     0.02220446     0.01389639     0.02543139     0.00539915    -0.00096917     0.00174246
 17    -0.00725376     0.00044117     0.00251068    -0.00315829     0.00021566    -0.00119271
 18    -0.01094739    -0.01622514    -0.02141101    -0.00299062     0.00090775    -0.00075451
 19    -0.02034967    -0.00965792     0.01530593     0.00639619     0.00028360    -0.00194147
 20     0.02039381     0.01293779    -0.01232507    -0.00384844     0.00007583     0.00092678
 21     0.00528912    -0.00113317     0.00065874    -0.00301324    -0.00042464     0.00152422
 22     0.01066431     0.01104441     0.02779856     0.00264152    -0.00038695     0.00018530
 23    -0.01005048    -0.00937196    -0.01018195    -0.00148645     0.00034094    -0.00008769
 24     0.00649992     0.00096882    -0.01406500    -0.00129153     0.00016973    -0.00022322
 25    -0.01410520     0.00913448    -0.01283895     0.00297657    -0.00135874     0.00097162
 26     0.01494181    -0.00743714     0.00251340    -0.00185981     0.00073639    -0.00066919
 27    -0.00076484    -0.00252752     0.00837152    -0.00154617     0.00070182    -0.00030207
 28    -0.00430316    -0.02023253     0.00164068     0.00244241     0.00019786    -0.00020200
 29    -0.00267744     0.01417964    -0.00397643    -0.00122118     0.00001040     0.00004886
 30     0.00322695     0.00578848     0.00397535    -0.00128236    -0.00018932     0.00001284
 31    -0.00934823     0.00611533    -0.00748861     0.00836807     0.00080145     0.00431677
 32     0.00438688     0.00396944     0.00071087    -0.00359079    -0.00117874    -0.00181874
 33    -0.00057449     0.00047113     0.00686804    -0.00339342    -0.00043389    -0.00304013
