 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.24150352    -0.02462260

 Atomic coordinates:
  1    -3.95682169     5.89235333     2.48796848
  2    -3.15152214     5.97323634     0.71228782
  3    -5.46090736     6.93150645     2.18480387
  4     1.89365566    -1.76854252    -8.46669116
  5     2.62276967    -0.41426430    -7.40614312
  6     0.03170591    -1.62185268    -8.22285007
  7    -1.08358273     1.47799554     3.08457144
  8    -1.88505419     0.06374081     2.02159649
  9    -2.45204811     2.76821422     3.15807090
 10    -2.71465645    -4.98954494    -3.59345853
 11    -1.15035213    -6.10149858    -3.63567335
 12    -2.66679398    -3.76030280    -5.07355869
 13     1.38170771    -0.89728118     7.30991759
 14     0.31266669    -0.17385628     5.91051881
 15     0.32024086    -2.32143528     7.98412611
 16    -3.73075074    -2.12341313     0.68988851
 17    -5.52909413    -1.40628560     0.78482662
 18    -3.48747975    -2.98727709    -1.04800845
 19    -3.50061351    -0.97909150    -7.25859218
 20    -4.55137039     0.00641274    -5.97533922
 21    -3.11633625     0.04986039    -8.81349350
 22     5.70944107    -2.89844036    -1.61337158
 23     7.30686955    -3.10944154    -0.65651153
 24     4.53475830    -2.54718833    -0.22593442
 25    -0.22360075    -6.00223446     1.92978070
 26    -1.36700216    -4.52302228     1.59964627
 27    -0.28145162    -6.95363757     0.31327737
 28     4.45673562     1.04948600    -4.82578578
 29     5.59308108     0.05673868    -3.66083068
 30     3.50310560     2.20493936    -3.66869719
 31    -8.46306661     0.29313886    -0.12989249
 32    -9.35024255     1.87893372     0.45772805
 33    -9.74615741    -1.11987733     0.23868841
 34    -1.89980622    -5.12752519     7.02355097
 35    -1.25204601    -5.60879187     5.30106450
 36    -3.75489018    -5.35098716     7.13197741
 37     9.04952971    -2.50309977     2.72655486
 38     9.85161274    -1.97507830     4.30412467
 39     7.14342683    -2.53492986     3.15388397
 40     3.01022545     7.99008260     2.24275309
 41     2.11706020     7.32190528     3.73616815
 42     2.52370462     9.82040833     1.94063743
 43    -2.12902815     5.84028669    -2.12449372
 44    -3.21807270     4.77941303    -3.21960549
 45    -0.46455566     4.95009837    -1.71482855
 46    -5.89394906     2.68285979    -3.98666760
 47    -7.30991736     3.72186147    -4.65996236
 48    -6.64517600     1.80216223    -2.41469288
 49     2.15921769     3.76399248    -0.64053261
 50     2.69678029     5.42982241     0.26645179
 51     1.36256927     2.80124027     0.82533864
 52     4.16062957    -3.13408406     3.78247301
 53     2.90453866    -4.55543260     3.33069479
 54     3.34166445    -2.29993962     5.41737616
 55     2.62199147    -5.36306271    -4.75654856
 56     3.86080389    -4.66851403    -3.55232699
 57     2.73977014    -4.41715142    -6.37899244
 58     0.15169037     6.55369078     5.93661647
 59     0.13796250     4.96865204     6.85408666
 60    -1.76459743     6.74366040     5.56127968

 Atomic and electronic forces:
  1     0.00906094    -0.00769368    -0.01156867     0.00803601     0.00196876     0.00105801
  2     0.00952902    -0.00532237     0.00737530    -0.00357276    -0.00082897     0.00017731
  3    -0.02315936     0.01425578     0.00884239    -0.00403482    -0.00183322    -0.00060588
  4    -0.01013173    -0.01493965    -0.01549305     0.00206871    -0.00071501    -0.00131783
  5     0.02246699     0.01776746     0.01653576    -0.00113247     0.00027415     0.00060998
  6    -0.01048051    -0.00453664     0.00039512    -0.00119866     0.00046340     0.00084294
  7     0.00378021    -0.02164214    -0.00663132     0.00547707    -0.00075488     0.00064724
  8     0.00629815    -0.00027943     0.00480487    -0.00288222     0.00078256    -0.00008686
  9    -0.00808520     0.02169108     0.00335336    -0.00335169     0.00014209    -0.00048642
 10    -0.00329592     0.00334062     0.01012855     0.00315940    -0.00243118    -0.00152094
 11     0.00009683     0.01013811    -0.01218416    -0.00129103     0.00099031     0.00054852
 12     0.00347026    -0.00735272     0.00003988    -0.00159379     0.00106097     0.00096296
 13    -0.00252518    -0.00019917     0.00012246     0.00306641    -0.00082655     0.00124068
 14     0.00147398     0.01109567    -0.00777369    -0.00193863     0.00045889    -0.00062364
 15    -0.00209225    -0.00935385     0.00661428    -0.00150524     0.00059231    -0.00073752
 16    -0.00254098    -0.00241048    -0.00653068     0.00588176    -0.00310758    -0.00068634
 17     0.01095418    -0.00624992    -0.00951541    -0.00353400     0.00201600     0.00048518
 18    -0.00739389     0.00495300     0.01055404    -0.00243535     0.00148652     0.00065787
 19     0.00455860    -0.00607879     0.00648523     0.00332872    -0.00155973    -0.00280093
 20     0.00678148     0.00471813    -0.01253852    -0.00218243     0.00089434     0.00173501
 21    -0.00853183     0.00427264     0.00680765    -0.00143764     0.00051728     0.00138166
 22     0.00524446    -0.00128043    -0.01284169     0.00206913    -0.00066989    -0.00032129
 23     0.02774278    -0.00405184     0.00334751    -0.00091379     0.00028172     0.00008729
 24    -0.02649610     0.00666542     0.01898727    -0.00120504     0.00038933     0.00010792
 25     0.00156169     0.00581981     0.01135205     0.00290999    -0.00199594     0.00007053
 26    -0.00715630     0.01148440     0.00157818    -0.00186944     0.00116447     0.00001653
 27     0.00514499    -0.01293536    -0.00940103    -0.00130834     0.00100496     0.00012907
 28    -0.00189140     0.00229394    -0.00575928     0.00235425    -0.00030444    -0.00079949
 29     0.00170956    -0.00857319    -0.00220571    -0.00109563     0.00018831     0.00028521
 30    -0.00521733     0.00960324     0.00736899    -0.00139679     0.00009537     0.00040362
 31    -0.02199546    -0.00959829     0.01010291     0.00852330    -0.00576197    -0.00332802
 32     0.00479392    -0.00018648    -0.00007080    -0.00339901     0.00188410     0.00104195
 33     0.01675308     0.01025762    -0.00726022    -0.00249400     0.00340743     0.00120105
