 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.25376377    -0.02393092

 Atomic coordinates:
  1    -3.69090449     6.61938140     2.33573580
  2    -3.15904817     5.95164927     0.56243905
  3    -5.17303965     7.71740320     1.79675720
  4     1.33395401    -1.55152664    -8.20027907
  5     2.37497821     0.03023685    -7.79321296
  6    -0.49764337    -1.09988175    -8.00343606
  7    -1.58619033     1.68689675     3.09907923
  8    -2.58721661     0.34929127     2.08792015
  9    -2.74583734     3.25010654     3.08180796
 10    -2.27323657    -4.41778094    -3.48288000
 11    -0.37402001    -4.77260261    -3.63685272
 12    -2.74229625    -3.50138066    -5.12115415
 13     0.62957280    -0.98201840     6.90956400
 14    -0.32930035     0.26251346     5.77374638
 15    -0.56290848    -2.50535854     7.10112196
 16    -3.98452315    -2.32847770     0.53007879
 17    -5.81619166    -1.96625083     0.44673133
 18    -3.54883245    -3.28027962    -1.10022608
 19    -3.59641905    -1.16029687    -7.47025812
 20    -4.55717173     0.02913121    -6.43746328
 21    -4.28534382    -0.89393515    -9.19635987
 22     6.28154087    -2.47480793    -1.54690495
 23     8.00899955    -3.16926696    -1.06321577
 24     5.41892237    -2.40555782     0.16727618
 25    -0.48949804    -5.54342795     2.15167506
 26    -1.96423594    -4.31390315     1.75389518
 27    -0.27610051    -6.49073258     0.52053161
 28     4.18449067     1.36644319    -4.45972735
 29     5.32034653    -0.10179005    -3.77470460
 30     3.45569506     2.29534021    -2.95101916
 31    -9.08790555    -0.48619072    -0.43662047
 32    -9.93634010     1.07976347     0.21950196
 33   -10.53023537    -1.65870762    -0.91380461
 34    -1.41765767    -5.65437257     7.29079391
 35    -1.00818310    -6.13790460     5.47561422
 36    -1.17999208    -7.04764809     8.51033214
 37     9.52561984    -3.33938381     2.83211458
 38    10.24113689    -1.95837039     3.97101696
 39     7.68096551    -3.53782598     3.44292910
 40     4.40736313     7.71841585     2.39465108
 41     3.20955599     7.87120575     3.96207856
 42     4.73263870     9.50360312     1.79136390
 43    -2.70229666     5.13572552    -2.46562857
 44    -4.15582222     4.25831035    -3.17986402
 45    -1.11398118     4.26505153    -3.12537762
 46    -6.29572339     2.05101806    -4.26797028
 47    -7.63337785     2.49470516    -5.59506240
 48    -7.34022876     1.36959944    -2.81276442
 49     2.31063373     3.46733787    -0.00103248
 50     3.21325500     4.87463725     1.00763959
 51     1.06686340     2.57705357     1.31531423
 52     4.15019711    -2.90131069     3.29066817
 53     2.50005782    -3.83537456     2.84039079
 54     3.67464900    -1.82584571     4.80004145
 55     2.68139584    -4.84777081    -4.23251174
 56     4.07848203    -3.78971458    -3.36405696
 57     2.32521482    -3.81470683    -5.82079396
 58     0.56361201     7.42586330     5.85187639
 59     0.24247750     5.83247770     6.78490820
 60    -0.78324231     7.49560185     4.49443163

 Atomic and electronic forces:
  1    -0.01169308    -0.00195201    -0.03513843     0.00447484     0.00157569     0.00276380
  2     0.00938914     0.00239423     0.01588328    -0.00258223    -0.00071015    -0.00111509
  3     0.00744431    -0.00057900     0.01747838    -0.00233273    -0.00132667    -0.00157666
  4     0.02697104     0.00865406     0.00027206     0.00330249    -0.00097635    -0.00071177
  5    -0.00657817    -0.01313643     0.00178813    -0.00159890     0.00027824     0.00028803
  6    -0.01156999    -0.00016141     0.00304281    -0.00211300     0.00064335     0.00045422
  7    -0.02638946     0.00561778    -0.01032616     0.00364943    -0.00040625     0.00213567
  8     0.01283953     0.00330817     0.00733896    -0.00211095     0.00051264    -0.00116642
  9     0.01391454    -0.00802196     0.00253613    -0.00208399    -0.00003413    -0.00132450
 10    -0.00326508    -0.00052165    -0.01274866     0.00392351    -0.00245914     0.00046414
 11     0.00021146    -0.00076756    -0.00109969    -0.00161316     0.00091987    -0.00013816
 12     0.00251803    -0.00357637     0.00568761    -0.00231501     0.00133459     0.00001552
 13    -0.01376852     0.00396537    -0.00527390     0.00197235    -0.00054046     0.00152608
 14     0.00811449    -0.00662791     0.00209187    -0.00122354     0.00024798    -0.00090147
 15     0.01241902     0.00334416     0.00270630    -0.00096721     0.00040176    -0.00083057
 16     0.01173899     0.00486498     0.01553041     0.00450174    -0.00238266     0.00223357
 17    -0.02435053     0.00518832    -0.00274640    -0.00260158     0.00158848    -0.00155235
 18     0.00530147     0.00102203    -0.00610216    -0.00223806     0.00132285    -0.00076885
 19     0.00945637    -0.01645944    -0.01625983     0.00624978    -0.00255612    -0.00118562
 20    -0.01482412     0.02379610     0.03398101    -0.00378937     0.00118413     0.00039292
 21     0.00068796    -0.00584850    -0.01536423    -0.00297912     0.00126129     0.00125839
 22     0.01033178    -0.00417269     0.00477308     0.00194481    -0.00051784     0.00028990
 23    -0.00237662     0.00346939    -0.00582835    -0.00081675     0.00022631    -0.00012861
 24    -0.00743469     0.00318540     0.00222733    -0.00100473     0.00027652    -0.00024461
 25    -0.01144623     0.00809026    -0.00333267     0.00236364    -0.00149427     0.00116767
 26     0.01291333    -0.00507959     0.00725897    -0.00148904     0.00090066    -0.00077084
 27     0.00530114    -0.00458645    -0.00253023    -0.00118581     0.00082044    -0.00044107
 28     0.01544909    -0.02471941    -0.00340878     0.00275580    -0.00022019     0.00003621
 29    -0.02022900     0.02817833    -0.00312702    -0.00118929     0.00018219    -0.00005314
 30     0.00332730    -0.00134869     0.00856649    -0.00148834     0.00004484    -0.00014706
 31    -0.01296342    -0.00012738    -0.00805746     0.00683481    -0.00526671     0.00561569
 32     0.00246929     0.00220524     0.00608822    -0.00262961     0.00168479    -0.00337069
 33     0.01030793    -0.00047307     0.00249223    -0.00201412     0.00321582    -0.00249488
