 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.24205364    -0.02914551

 Atomic coordinates:
  1    -3.50500052     6.60272637     1.76434528
  2    -3.26786102     6.26815189    -0.18251397
  3    -5.07974976     7.61260153     1.93410714
  4     1.45036380    -1.26446412    -7.74807554
  5     2.42782275     0.05055616    -6.63825721
  6    -0.40263073    -0.86071777    -7.43870722
  7    -1.03995024     1.79176788     2.08418280
  8    -2.23053459     0.40305335     1.66867925
  9    -2.12202063     3.38953033     2.16592642
 10    -2.34736587    -4.95840048    -3.30004622
 11    -0.45784544    -5.10528017    -3.57331662
 12    -3.09312763    -4.13987002    -4.90775050
 13     0.59786124    -0.98609717     6.41802495
 14    -0.21799052    -0.12970752     4.97263223
 15    -0.56047953    -2.36326397     6.85618764
 16    -4.03656237    -2.63033729     0.81682640
 17    -5.80795145    -1.74135422     0.79427932
 18    -3.60945149    -3.28705640    -0.94163030
 19    -3.26360311    -0.69949900    -6.85310285
 20    -4.46227091     0.43965079    -5.89983211
 21    -3.93976654    -0.83862430    -8.66601657
 22     5.88040556    -2.54429037    -1.59790988
 23     7.67922142    -2.87552178    -0.85911549
 24     4.86805071    -2.53073387    -0.01603218
 25    -0.11146016    -5.83336944     2.27956812
 26    -1.76794621    -4.84261614     2.03465212
 27     0.11565687    -6.89917136     0.80197845
 28     4.05006916     1.38924394    -4.53517763
 29     4.81522138    -0.12662668    -3.63697204
 30     3.69153629     2.68136735    -3.11466607
 31    -8.28378949     0.15661580     0.39196497
 32    -8.23385881     1.38240009     1.82629019
 33   -10.03118878    -0.64751507     0.55448216
 34    -1.96165767    -5.83657860     6.92153710
 35    -1.10126247    -6.35485124     5.26663652
 36    -3.74664195    -5.84295751     6.54895823
 37     9.16329175    -2.55018099     2.63735198
 38     9.83696812    -1.14287687     3.68725819
 39     7.45710506    -3.07803002     3.45582376
 40     4.36198267     7.76363050     3.40640727
 41     2.54989840     7.67484944     4.02975570
 42     5.57943373     7.08484565     4.72395813
 43    -2.48270942     4.52509702    -2.89025359
 44    -3.95192714     3.41360260    -3.40243975
 45    -0.75418528     3.75845320    -3.53359558
 46    -6.65222317     2.07516931    -4.04259832
 47    -7.91204726     3.53219711    -4.04506227
 48    -7.05969725     1.11936846    -2.37395199
 49     2.66225415     3.91747859    -0.47925234
 50     3.65465072     4.99705225     0.72696588
 51     1.34029071     2.93012737     0.51681199
 52     4.16013216    -3.02479840     3.45626770
 53     2.88424290    -4.38483738     3.08483574
 54     3.15078033    -1.96037412     4.74664690
 55     2.55316836    -5.39464269    -4.73130433
 56     3.89697243    -4.58693526    -3.63553401
 57     2.29026083    -4.04426370    -6.09203959
 58    -0.17196297     7.31642214     5.80176566
 59    -1.05311506     6.56131515     7.29538463
 60    -1.42118519     7.38170385     4.39746989

 Atomic and electronic forces:
  1     0.00455871    -0.01463936    -0.02919637     0.00862608     0.00310081    -0.00061369
  2     0.00450696     0.00338262     0.02975778    -0.00382459    -0.00115844     0.00107681
  3    -0.00743856     0.00836907    -0.00019159    -0.00411364    -0.00255011     0.00015484
  4     0.02107802     0.01070407     0.00925474     0.00217733    -0.00071768    -0.00159704
  5    -0.00391190    -0.01599863    -0.01386910    -0.00119135     0.00026230     0.00072825
  6    -0.00542306    -0.00285158     0.00059541    -0.00127809     0.00044522     0.00104347
  7    -0.00617924     0.01502151     0.01288374     0.00661728    -0.00090436    -0.00037986
  8    -0.00844907    -0.02031405    -0.00847449    -0.00354117     0.00106795     0.00039910
  9     0.01001879    -0.00055110    -0.00150136    -0.00396374    -0.00002907     0.00019901
 10    -0.02366170     0.01396998    -0.01396844     0.00306029    -0.00245353    -0.00174144
 11     0.00800908    -0.00406360    -0.00828768    -0.00134214     0.00093255     0.00067841
 12     0.01557037    -0.00919014     0.01733629    -0.00148979     0.00116195     0.00115940
 13     0.01782431     0.01206985     0.00556404     0.00407241    -0.00134221     0.00125897
 14    -0.00275124     0.01941525    -0.01930278    -0.00256301     0.00072395    -0.00050825
 15    -0.01362480    -0.02952666     0.01542755    -0.00202261     0.00097160    -0.00077450
 16    -0.02543597     0.02168113     0.02055560     0.00595747    -0.00423732    -0.00145382
 17     0.02996142    -0.01794869    -0.01006856    -0.00346458     0.00275474     0.00114148
 18    -0.00174582    -0.00439399    -0.00532059    -0.00238057     0.00175760     0.00096317
 19    -0.01557536    -0.00558179    -0.02213528     0.00313576    -0.00137273    -0.00311269
 20    -0.00727858     0.00411718     0.00354814    -0.00197660     0.00074701     0.00204106
 21     0.00680412     0.00201781     0.01916266    -0.00121858     0.00059613     0.00156728
 22     0.03687013    -0.00998150    -0.00142931     0.00215081    -0.00068370    -0.00047549
 23    -0.02293969     0.00740343    -0.01584105    -0.00093044     0.00028411     0.00015131
 24    -0.01631023     0.00289231     0.01825265    -0.00123927     0.00041624     0.00017765
 25    -0.01475225     0.02298709     0.02845711     0.00306306    -0.00224355    -0.00006504
 26     0.01293225    -0.00315325    -0.00631766    -0.00195813     0.00147512     0.00011537
 27     0.00319318    -0.02037017    -0.03235864    -0.00131685     0.00105800     0.00017995
 28    -0.00389831     0.00938404     0.00671352     0.00251085    -0.00029154    -0.00106515
 29     0.00481679    -0.00051453     0.00210353    -0.00119509     0.00023678     0.00042282
 30     0.00226358    -0.00787604    -0.00600307    -0.00145108     0.00005660     0.00050147
 31    -0.02024201    -0.00843821     0.00359314     0.00776377    -0.00708014    -0.00534973
 32     0.00582760     0.00901316     0.00726564    -0.00381513     0.00259099     0.00114757
 33     0.01182402     0.00006205    -0.00724338    -0.00175148     0.00382330     0.00208542
 34     0.03145098     0.00079969    -0.00126655     0.00304796    -0.00265989     0.00137756
 35     0.00463757     0.00392752     0.00852664    -0.00148425     0.00125787    -0.00038057
 36    -0.03811853    -0.00139249    -0.00162367    -0.00165863     0.00176576    -0.00084402
 37    -0.01716390    -0.01239724     0.00750909     0.00171833    -0.00046136     0.00002564
 38     0.00377645     0.00521193     0.00293022    -0.00084550     0.00016572    -0.00005352
 39     0.01595405     0.00770971    -0.01425034    -0.00097476     0.00031081    -0.00005534
 40     0.01426969    -0.00802828    -0.00415996     0.00285354     0.00079394     0.00018744
 41     0.00263322    -0.00066283     0.01091195    -0.00175417    -0.00053498    -0.00020002
 42    -0.01556615     0.00614165    -0.00614189    -0.00126895    -0.00028305    -0.00017352
 43     0.04368012    -0.00343507    -0.00615587     0.00588715     0.00053751    -0.00315199
 44     0.00294173    -0.00594658    -0.00782204    -0.00311785     0.00011129     0.00218104
 45    -0.04527953     0.01704618     0.01591228    -0.00227307    -0.00005433     0.00116473
 46    -0.01742594    -0.00078943     0.02081701     0.00601154    -0.00191238    -0.00677281
 47     0.00876567    -0.00805657    -0.00685853    -0.00259372     0.00021727     0.00402875
 48     0.00335792     0.00516805    -0.01708038    -0.00332123     0.00170352     0.00321068
 49     0.00492279    -0.00170746    -0.01027337     0.00369001     0.00014892    -0.00072349
 50    -0.00068740     0.00584132     0.00612263    -0.00168412    -0.00018273     0.00017933
 51     0.00066761     0.00338810     0.00517174    -0.00228553     0.00006672     0.00033820
 52    -0.00970561     0.01083019     0.01408994     0.00264376    -0.00100466     0.00016614
 53    -0.00425748    -0.01224427    -0.00759328    -0.00136964     0.00068511    -0.00005686
 54     0.01220881    -0.00142487    -0.00534148    -0.00154120     0.00051883    -0.00023078
 55    -0.00064662     0.01597378    -0.00082173     0.00201700    -0.00116704    -0.00097020
 56     0.00612406    -0.00457691     0.00534707    -0.00104089     0.00050157     0.00038954
 57    -0.00275579    -0.00691785    -0.00416421    -0.00102990     0.00051261     0.00059858
 58     0.00911435     0.00013732     0.01302599     0.00465402     0.00162491     0.00131555
 59     0.00197693    -0.00064144     0.00216524    -0.00241380    -0.00076768    -0.00109360
 60    -0.01131654    -0.00105143    -0.01793868    -0.00287689    -0.00111771    -0.00053217
