 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.25008463    -0.02087158

 Atomic coordinates:
  1    -3.31187593     6.62696759     2.45164571
  2    -2.74140349     6.46465767     0.64968869
  3    -5.20438352     6.75960410     2.32349629
  4     1.62268869    -1.25118747    -8.31157253
  5     2.16479425    -0.26337175    -6.70774853
  6    -0.29751708    -1.23091992    -8.55372396
  7    -1.21201789     1.69655113     3.02804978
  8    -2.31139052     0.27822804     2.22236885
  9    -2.06721439     3.42829822     3.11560396
 10    -1.97317378    -4.46074819    -3.30775621
 11    -0.12642390    -4.53483952    -3.80316542
 12    -2.71884319    -3.50706128    -4.84156062
 13     0.53338301    -1.05193237     6.68210933
 14    -0.31405732     0.16191094     5.41983204
 15    -0.78346682    -2.24798681     7.27714097
 16    -3.98126132    -2.15633873     0.66901393
 17    -5.63975472    -1.43538937     0.37329550
 18    -3.25562369    -2.85328034    -0.96214114
 19    -3.46497880    -1.60186258    -7.19184946
 20    -4.63373811    -0.28570717    -6.34912182
 21    -4.22380575    -2.02128776    -8.89995634
 22     6.59887357    -2.50885179    -1.52348608
 23     8.21860807    -2.93367319    -0.50327270
 24     5.45835460    -1.54524848    -0.31162480
 25    -0.34790469    -5.64603417     1.90470377
 26    -1.49833986    -4.08772321     1.66493064
 27    -0.32214497    -6.39258552     0.15338455
 28     3.64426548     1.05443278    -4.23002475
 29     4.93383220    -0.22010304    -3.51014502
 30     3.13594063     2.27590315    -2.82042405
 31    -9.15172829    -0.49970689     0.06752068
 32   -10.04252250     0.95647510     0.84785001
 33   -10.37349681    -1.86689338    -0.44832856
 34    -2.22685748    -5.48384172     6.78328706
 35    -1.74241883    -5.58615272     4.95028974
 36    -2.11716634    -7.23034274     7.50472641
 37     9.54581802    -3.30059843     2.64914000
 38    10.41630920    -1.84473550     3.43977719
 39     7.64600955    -3.22471214     3.11523789
 40     4.27016984     7.63811313     2.38375642
 41     2.96729549     8.21522652     3.68106682
 42     5.61915609     8.89542210     2.26861972
 43    -2.54176035     5.15533266    -2.50745191
 44    -3.63490825     3.88200714    -3.45999468
 45    -0.71676388     4.62123849    -2.53567594
 46    -6.59767727     1.91068347    -4.04153681
 47    -8.08290919     2.73769167    -4.94484598
 48    -7.40303752     1.15640869    -2.49230247
 49     2.37347059     3.91393675    -0.25882847
 50     3.39080027     5.36718444     0.61712695
 51     1.33776493     3.20505878     1.21332394
 52     4.01025764    -3.23829030     3.70208590
 53     2.68744188    -4.26333760     2.88884757
 54     2.97038851    -2.02832124     4.88371710
 55     2.81428761    -4.80844876    -4.61283598
 56     4.30040707    -3.99959998    -3.79381795
 57     2.78462806    -4.15744450    -6.38519398
 58     0.26530472     7.69721892     5.71913053
 59    -0.06970417     6.66828149     7.20376388
 60    -1.28828132     7.64647621     4.59702715

 Atomic and electronic forces:
  1    -0.01673082    -0.00295395     0.00967737     0.00516406     0.00197586     0.00173885
  2     0.00875754    -0.00199565    -0.01869909    -0.00260401    -0.00091659    -0.00045462
  3     0.00117090     0.00240431     0.00351141    -0.00296361    -0.00149680    -0.00118678
  4    -0.00272405     0.00026504    -0.00009185     0.00276137    -0.00059999    -0.00096862
  5    -0.00910587    -0.00478655    -0.01582224    -0.00145016     0.00022022     0.00036225
  6     0.01741587     0.00490151     0.01571420    -0.00166248     0.00040134     0.00066808
  7    -0.00789316    -0.00607195    -0.00751863     0.00427299    -0.00035843     0.00150447
  8     0.00633062     0.02720557     0.00719390    -0.00242953     0.00052543    -0.00078766
  9    -0.00469770    -0.01497773    -0.00706008    -0.00239605    -0.00013713    -0.00088913
 10    -0.01879822     0.01495276    -0.01305494     0.00382046    -0.00209847    -0.00020107
 11     0.01784935    -0.00945228     0.00322650    -0.00158809     0.00077513     0.00013382
 12     0.00106113    -0.00716811     0.01007966    -0.00219576     0.00108276     0.00037937
 13     0.01389812     0.02232442    -0.00407969     0.00246781    -0.00064934     0.00144843
 14     0.00659248    -0.00537069     0.00442293    -0.00155593     0.00029840    -0.00080591
 15    -0.01324585    -0.01801881     0.00501983    -0.00121874     0.00047002    -0.00084731
 16     0.04233764    -0.00171044     0.02383466     0.00529576    -0.00247663     0.00139148
 17    -0.04035051     0.01040825    -0.01006477    -0.00325522     0.00156753    -0.00089316
 18    -0.00293429    -0.00607704    -0.01039087    -0.00246324     0.00118014    -0.00030870
 19    -0.02287606     0.01405634    -0.00204994     0.00497593    -0.00167891    -0.00180005
 20     0.01280285    -0.01161005    -0.00651483    -0.00309168     0.00074360     0.00104226
 21     0.00225606     0.00132428     0.00728024    -0.00220369     0.00091065     0.00125982
 22     0.00629985     0.00922760     0.00774552     0.00188181    -0.00044893     0.00006874
 23    -0.01877888     0.00092322    -0.00921558    -0.00080575     0.00019464    -0.00006345
 24     0.00651523    -0.00968886    -0.00021083    -0.00106693     0.00021796    -0.00010334
 25    -0.01275334     0.01873902    -0.00460333     0.00265523    -0.00158493     0.00079777
 26     0.00636001    -0.01249408     0.00612262    -0.00169692     0.00089399    -0.00050883
 27     0.00389945    -0.00642364    -0.00226047    -0.00132697     0.00085396    -0.00024211
 28     0.00704189    -0.01472256     0.00264022     0.00269212    -0.00018754    -0.00028488
 29    -0.01116285     0.01724663    -0.00527393    -0.00117092     0.00015714     0.00007304
 30     0.00547456    -0.00260311     0.00243345    -0.00146368     0.00000444     0.00005228
 31     0.01385508    -0.00467952    -0.01475160     0.00818419    -0.00532680     0.00320875
 32    -0.01090647     0.00333998     0.00738003    -0.00316436     0.00176401    -0.00219069
 33    -0.00123651     0.00375275     0.00546914    -0.00266094     0.00322541    -0.00135155
 34    -0.00849993     0.00233709     0.01243181     0.00215384    -0.00152240     0.00163115
 35     0.00697125    -0.00390098    -0.01010965    -0.00122639     0.00082884    -0.00070406
 36     0.00114247    -0.00015517    -0.00077944    -0.00086132     0.00073501    -0.00071248
 37    -0.02801371    -0.00503386    -0.00430357     0.00136008    -0.00033478     0.00028117
 38     0.00392868     0.00815411     0.00781731    -0.00064988     0.00011492    -0.00014994
 39     0.02001376    -0.00401304     0.00028834    -0.00077809     0.00020650    -0.00019057
 40    -0.01574663    -0.01337545     0.00033251     0.00215417     0.00062677     0.00049758
 41     0.00155380    -0.00423066     0.00007703    -0.00113004    -0.00039195    -0.00036155
 42     0.01682331     0.01859580     0.00131154    -0.00091424    -0.00030987    -0.00019435
 43    -0.01396254     0.00082811     0.00086983     0.00555048     0.00132485    -0.00033269
 44     0.00965412     0.00460152     0.00525127    -0.00324546    -0.00047288     0.00042457
 45     0.00411503    -0.00477369    -0.00193531    -0.00224774    -0.00038199     0.00009485
 46    -0.01607946     0.00630049    -0.01419966     0.00930536    -0.00048283    -0.00185926
 47     0.01480762    -0.00180725     0.00074238    -0.00409781    -0.00044689     0.00177017
 48     0.00341550    -0.00821222     0.01006784    -0.00458638     0.00091724     0.00025701
 49     0.00296945     0.00950148     0.01805781     0.00310720     0.00028368     0.00031198
 50    -0.00966956    -0.01154249    -0.01130911    -0.00133546    -0.00022844    -0.00019033
 51     0.00175268    -0.00357300    -0.00873405    -0.00172116    -0.00007651    -0.00033240
 52     0.01021386     0.04343165     0.02410667     0.00202542    -0.00065442     0.00065281
 53    -0.02009420    -0.02286373    -0.01302360    -0.00111226     0.00045558    -0.00033475
 54     0.01712161    -0.02151322    -0.01169884    -0.00110256     0.00030289    -0.00044673
 55    -0.01151502    -0.01164002     0.00271045     0.00233799    -0.00099082    -0.00028593
 56     0.01768617     0.00341069     0.01278263    -0.00108673     0.00037706     0.00007986
 57    -0.00117512     0.00655112    -0.01441381    -0.00117623     0.00044992     0.00026131
 58     0.01463662     0.02454762    -0.01628385     0.00260756     0.00097137     0.00133441
 59    -0.00539332    -0.01790902     0.02474465    -0.00125440    -0.00038064    -0.00079670
 60    -0.00238051    -0.00398253    -0.00489021    -0.00164321    -0.00067770    -0.00077967
