 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.27867089    -0.01992786

 Atomic coordinates:
 34     0.00301261     0.00277200    -0.00048585     0.00155265    -0.00207538     0.00078599
 35    -0.00267444     0.00157911     0.00283800    -0.00076654     0.00103906    -0.00024979
 36     0.00189402    -0.00237623    -0.00391616    -0.00072340     0.00119868    -0.00048987
 37     0.00781758     0.01808647    -0.00353598     0.00149330    -0.00068462     0.00006369
 38    -0.01235117    -0.01841433     0.00721765    -0.00074284     0.00041248    -0.00004806
 39     0.00445427    -0.00033977    -0.00099497    -0.00087411     0.00035244    -0.00004800
 40    -0.02525527    -0.00097606     0.01857836     0.00419251    -0.00034979     0.00021254
 41     0.02334446     0.00212820    -0.01042373    -0.00247748     0.00031797    -0.00031037
 42     0.00294314    -0.00342576    -0.00417501    -0.00196649    -0.00007759    -0.00020629
 43    -0.01275929     0.01955004     0.01106894     0.00487455    -0.00202613    -0.00166895
 44    -0.00316282    -0.01360606    -0.01431788    -0.00212234     0.00115736     0.00101589
 45     0.01653542    -0.00477750     0.00480653    -0.00203619     0.00079264     0.00056294
 46    -0.00643544     0.00172100     0.00728697     0.00425411    -0.00492505    -0.00383732
 47     0.00314049    -0.00377842    -0.00137325    -0.00191190     0.00223418     0.00259715
 48     0.00583264    -0.00144498    -0.00646127    -0.00220670     0.00286057     0.00150431
 49     0.00088430     0.01023077     0.00753959     0.00317930    -0.00114482    -0.00032791
 50    -0.00001958     0.00397570    -0.00912020    -0.00173027     0.00042850     0.00008575
 51    -0.00273359    -0.01226276     0.00241568    -0.00159617     0.00070844     0.00002685
 52     0.01769208     0.00499873    -0.00758129     0.00157485    -0.00122063     0.00016887
 53    -0.01049176    -0.00330883     0.00023834    -0.00078850     0.00072391    -0.00007482
 54    -0.00539919    -0.00274002     0.00513009    -0.00083490     0.00061106    -0.00017433
 55    -0.00775700    -0.00496810     0.00787549     0.00146385    -0.00140929    -0.00055992
 56     0.00058226    -0.00357774    -0.00520222    -0.00076409     0.00063360     0.00021727
 57     0.00398171     0.00003976     0.00209363    -0.00075735     0.00067619     0.00037181
 58    -0.01326912     0.00044626    -0.01606433     0.00580409    -0.00167443     0.00164915
 59     0.00880739    -0.00108430    -0.00418766    -0.00285815     0.00081154    -0.00143997
 60     0.00503573     0.00234603     0.01701005    -0.00326237     0.00102774    -0.00050517
