 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.28106103    -0.01611593

 Atomic coordinates:
  1    -4.29562646     6.69206585    -0.15258124
  2    -3.25403856     5.36444699    -1.24111819
  3    -4.94511347     7.97418472    -1.38781522
  4     1.41987946    -1.01890820    -8.11855396
  5     2.47118951     0.00033865    -6.84824355
  6    -0.36696833    -1.02245164    -7.47261117
  7     0.13268511     1.62367515     3.92937689
  8    -1.39033566     0.65743314     3.34542722
  9    -0.52961755     3.40465016     4.27445504
 10    -2.49025570    -3.91956714    -2.87373030
 11    -0.70567572    -4.37059089    -3.47211745
 12    -3.21133500    -3.06951396    -4.41101856
 13     2.18507088    -2.14786672     6.98273905
 14     1.31739986    -0.66411860     6.20361180
 15     0.78005165    -3.29141909     7.56491308
 16    -3.63685039    -1.17775415     1.33701911
 17    -5.21994489    -0.12783752     1.22296189
 18    -3.34981845    -1.98885020    -0.35774758
 19    -3.58636410    -0.30799928    -6.81965778
 20    -5.04427587     0.52167014    -5.85824465
 21    -3.55524893     0.46843322    -8.52843114
 22     6.41404847    -2.98336335    -1.98355736
 23     8.21743569    -2.70986976    -1.41145506
 24     5.40120445    -3.21007391    -0.42293761
 25    -0.70621865    -5.76395818     2.01962797
 26    -1.55157574    -4.09563986     2.35314966
 27    -1.13860174    -6.20305608     0.19745469
 28     4.00229071     0.93603154    -4.31848154
 29     5.14820853    -0.35774900    -3.43812325
 30     3.66887614     2.22285214    -2.86560652
 31    -7.27019504     2.24598710     0.83329390
 32    -6.34490117     3.94839511     0.56325331
 33    -8.83439236     2.68271910     1.76202124
 34    -1.26394862    -6.26554266     7.31656728
 35    -0.96318107    -6.70247287     5.47680504
 36    -1.91508037    -7.87620685     8.12387842
 37     8.92782728    -1.76636313     2.89511709
 38     7.35125808    -2.90383108     2.82268463
 39     8.64184581    -0.40236064     4.16681919
 40     2.63324085     7.74974195     3.07831564
 41     0.75715600     7.56236517     3.57221320
 42     3.36944629     9.00634019     4.26178412
 43    -1.62241026     3.39039033    -2.55486622
 44    -1.75027900     1.85793774    -3.62767461
 45     0.19836940     3.58941661    -1.96828167
 46    -7.48333371     1.63927155    -4.32182900
 47    -8.92180485     2.51136670    -5.12437906
 48    -7.63111222     1.88568215    -2.37150264
 49     2.89935355     3.58371866    -0.09711108
 50     3.24198793     5.31457445     0.56767583
 51     1.93665504     2.67538190     1.39475858
 52     4.38640349    -4.30722790     2.85448287
 53     2.74471737    -5.18988247     2.44346620
 54     3.93629001    -3.42205786     4.56009573
 55     2.41371239    -5.05485828    -4.77193473
 56     3.92033132    -4.52662959    -3.63334977
 57     2.34633127    -3.83972153    -6.21033149
 58    -2.29216326     6.28591625     4.57192332
 59    -3.56419279     6.62648099     5.96172224
 60    -3.18528099     6.64176672     2.88382687

 Atomic and electronic forces:
  1     0.00482290    -0.02279401    -0.00898751     0.00734101    -0.00203880    -0.00101427
  2    -0.01175667     0.02021333     0.01635593    -0.00296157     0.00120606     0.00065648
  3     0.00177361     0.00326510    -0.00336088    -0.00342968     0.00032781     0.00091543
  4     0.00508528    -0.00162765    -0.00054874     0.00171529    -0.00126861    -0.00109278
  5     0.00112104    -0.00195154    -0.00177146    -0.00096151     0.00059432     0.00049163
  6    -0.00642520     0.00171502     0.00041837    -0.00095692     0.00081614     0.00063857
  7     0.00230197     0.01568961     0.00399432     0.00338372    -0.00204548     0.00049693
  8    -0.00932884    -0.01201240    -0.00908492    -0.00172853     0.00133868    -0.00020478
  9     0.00294142    -0.00316893     0.00228918    -0.00209137     0.00101081    -0.00035392
 10     0.01628502     0.00000623    -0.00495586     0.00181163    -0.00239427    -0.00070885
 11    -0.00177133    -0.00537209     0.00573298    -0.00082908     0.00096554     0.00031806
 12    -0.01035433     0.00495005    -0.00594082    -0.00094912     0.00126398     0.00053596
 13     0.00735639    -0.00713228     0.00355762     0.00186625    -0.00148220     0.00067552
 14    -0.00209918     0.01642790    -0.00952062    -0.00117080     0.00085608    -0.00036658
 15    -0.00249639    -0.01089317     0.00350423    -0.00086220     0.00084039    -0.00038907
 16     0.01618695    -0.00325976     0.02166836     0.00297562    -0.00348422    -0.00011446
 17    -0.00911074     0.00696286    -0.00451642    -0.00176076     0.00224272     0.00011345
 18    -0.00015957    -0.00765053    -0.01219919    -0.00129024     0.00157737     0.00023773
 19     0.00698453    -0.00567039     0.01448144     0.00228044    -0.00248815    -0.00183037
 20    -0.00446905    -0.00163250     0.00057539    -0.00134982     0.00161159     0.00112549
 21    -0.00145146     0.00476165    -0.01282804    -0.00106831     0.00107008     0.00105800
 22     0.00947074     0.00598693    -0.01965661     0.00146565    -0.00095113    -0.00025155
 23    -0.00173782    -0.00121167     0.00130555    -0.00068154     0.00039371     0.00008904
 24    -0.00935519    -0.00621686     0.02364666    -0.00078176     0.00054757     0.00007636
 25     0.00573469    -0.01029864    -0.00543455     0.00152511    -0.00197767     0.00007714
 26    -0.00647882     0.00794423    -0.00051221    -0.00095695     0.00118279    -0.00006940
 27     0.00005737     0.00280025     0.00683725    -0.00072437     0.00100114     0.00007143
 28     0.00125301     0.01400961     0.02992423     0.00209802    -0.00105623    -0.00067826
 29    -0.00293943    -0.00109431    -0.01090449    -0.00092064     0.00050106     0.00023919
 30     0.00309518    -0.01192924    -0.01705649    -0.00123818     0.00053906     0.00030280
 31     0.01342718     0.02632374    -0.01368076     0.00505150    -0.00653750    -0.00075048
 32    -0.00254048    -0.01774899     0.00328719    -0.00304215     0.00247658     0.00044305
 33    -0.01475823    -0.00084187     0.01071642    -0.00174824     0.00344040    -0.00009531
 34    -0.00437227    -0.01298315     0.00443483     0.00125802    -0.00181865     0.00067714
 35     0.00099808     0.00563468    -0.00376873    -0.00064308     0.00092160    -0.00022943
 36     0.00378837     0.01102698    -0.00166318    -0.00049224     0.00084581    -0.00033175
 37    -0.00760296    -0.01062828    -0.00828766     0.00140029    -0.00072097     0.00009688
 38     0.01038601     0.00871862     0.00582105    -0.00071984     0.00044370    -0.00005088
 39    -0.00286570     0.00033770     0.00280170    -0.00076282     0.00034846    -0.00009698
 40    -0.02480568    -0.00507802    -0.00224329     0.00376699    -0.00038492     0.00028173
 41     0.01738929    -0.00205279    -0.00342804    -0.00228878     0.00029156    -0.00025725
 42     0.00655254     0.00621996     0.00577436    -0.00173485     0.00001202    -0.00024532
 43    -0.00430496     0.01609935     0.00612192     0.00422057    -0.00229908    -0.00126621
 44     0.00341124    -0.01341870    -0.00927794    -0.00173709     0.00120247     0.00069053
 45     0.00110836    -0.00526569    -0.00092060    -0.00188315     0.00084987     0.00043838
 46     0.01115477    -0.00057201     0.03222196     0.00331456    -0.00506027    -0.00308951
 47    -0.01516058     0.00732792    -0.00612434    -0.00115266     0.00244578     0.00206827
 48     0.00384497    -0.00756027    -0.02672091    -0.00188146     0.00284744     0.00123746
 49    -0.02627456    -0.03340332     0.01644837     0.00305694    -0.00113304    -0.00029458
 50     0.00580412     0.01922601     0.01086380    -0.00163923     0.00041298     0.00009534
 51     0.02126733     0.01306652    -0.02444009    -0.00160657     0.00073525     0.00002582
 52    -0.00520819     0.01789771     0.02161355     0.00150737    -0.00122596     0.00012666
 53    -0.00452326    -0.00653267    -0.00586179    -0.00074852     0.00071997    -0.00005012
 54     0.00719613    -0.00907277    -0.01661520    -0.00081753     0.00063993    -0.00015082
 55     0.00877148    -0.00309259     0.03345724     0.00136528    -0.00132166    -0.00053690
 56    -0.01352173    -0.00561990    -0.01891022    -0.00070705     0.00059761     0.00020650
 57     0.00346223     0.01085193    -0.01555623    -0.00072391     0.00064254     0.00035122
 58    -0.00632955     0.00412437    -0.00070717     0.00605569    -0.00162946     0.00114875
 59     0.00570154    -0.00133305    -0.00586116    -0.00295994     0.00071389    -0.00118997
 60     0.00346845    -0.00246824     0.00349224    -0.00329863     0.00080106    -0.00025432
