 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.25106678    -0.02316882

 Atomic coordinates:
  1    -3.43751038     6.83943154     1.89051004
  2    -2.95195408     5.98691839     0.17925873
  3    -5.17158908     7.48460512     1.56760836
  4     1.43647395    -1.24028506    -8.21651671
  5     2.38034714    -0.06944613    -6.98634697
  6    -0.30809711    -1.47376188    -7.52227202
  7    -1.08657171     2.24148403     2.90561823
  8    -2.36683509     0.91028660     2.47372918
  9    -2.07252881     3.91341566     2.78015150
 10    -2.34832606    -4.85087981    -3.10312814
 11    -0.48297290    -4.96654674    -3.57513645
 12    -3.01940528    -3.96281586    -4.63422470
 13     0.53592456    -1.28912214     6.57077488
 14    -0.25436002     0.07163955     5.56043740
 15    -0.88403951    -2.42443061     7.09116639
 16    -4.01113824    -1.81863855     0.77044347
 17    -5.84795782    -1.38769446     0.57094916
 18    -3.45536934    -2.75293344    -0.77592867
 19    -3.64974365    -1.34404428    -6.95565226
 20    -4.56346682     0.01894903    -5.96955189
 21    -4.15660988    -1.05569603    -8.72118261
 22     6.31046836    -2.42317020    -1.79102425
 23     8.12205334    -2.48436115    -1.11882650
 24     5.23152108    -2.34879072    -0.29017769
 25    -0.10307519    -5.95497264     1.87715942
 26    -1.20841050    -4.41941791     2.09765826
 27    -0.42885745    -6.64260102     0.10695432
 28     3.84999425     1.13646760    -4.59668798
 29     5.06616720     0.02018325    -3.58720515
 30     3.35983401     2.46977032    -3.20512321
 31    -8.55965889     0.01175569     0.17706421
 32    -8.75048345     1.33731066     1.52353233
 33   -10.29185211    -0.81225569    -0.05369814
 34    -2.13505221    -6.08335356     6.96082834
 35    -0.81657918    -6.59342732     5.64776594
 36    -2.84854347    -7.73771219     7.64028039
 37     9.21349008    -2.49791281     3.01834548
 38    10.39499988    -3.32445732     4.29526045
 39     7.31390409    -2.68408669     3.51206934
 40     4.36020147     7.51703165     2.97603743
 41     2.61435051     7.85717128     3.82819312
 42     5.64436567     8.09738919     4.22331953
 43    -2.56281127     4.78163427    -2.43740658
 44    -3.82132811     3.68139964    -3.29055316
 45    -0.85622126     4.22145907    -3.04389931
 46    -6.42326743     1.90213847    -4.15430830
 47    -7.68065458     2.81713377    -5.18040560
 48    -7.37672295     1.35826522    -2.50202446
 49     2.55771795     3.88285698    -0.55325911
 50     3.35693014     5.34663383     0.33330815
 51     1.11814104     3.26056078     0.68644245
 52     4.23335532    -3.36826594     3.50036157
 53     2.92980144    -4.70531868     3.08058513
 54     3.27544573    -2.25346481     4.82944668
 55     2.85690790    -5.15766467    -4.76292325
 56     3.94581461    -4.26236828    -3.39676047
 57     2.75075126    -3.97112310    -6.21933265
 58    -0.15086696     7.58344267     5.76901620
 59    -0.23546057     5.70296602     6.07889861
 60    -1.51941406     7.84029403     4.38780098

 Atomic and electronic forces:
  1     0.00612042    -0.01536139    -0.00582595     0.00707879     0.00267172     0.00108597
  2     0.00153431     0.01038099     0.00701901    -0.00350814    -0.00090502     0.00006337
  3    -0.01014745     0.00919218     0.00166748    -0.00371327    -0.00216059    -0.00061755
  4     0.00951892    -0.00085982    -0.00205502     0.00246638    -0.00079115    -0.00129946
  5     0.00065634    -0.00287449    -0.00261315    -0.00130548     0.00029502     0.00055175
  6    -0.01079954     0.00133422     0.00165457    -0.00148116     0.00056682     0.00079560
  7    -0.00995581     0.02416422     0.00542567     0.00551662    -0.00057041     0.00103843
  8    -0.00353661    -0.01573679    -0.00866463    -0.00312381     0.00079475    -0.00051204
  9     0.00998081    -0.00884147     0.00067442    -0.00321536    -0.00016352    -0.00063105
 10     0.01833290     0.00323019    -0.00165578     0.00336892    -0.00252701    -0.00089724
 11     0.00192596    -0.00886151     0.00644911    -0.00143651     0.00094498     0.00038111
 12    -0.01532382     0.00664828    -0.00973400    -0.00181060     0.00128620     0.00074903
 13     0.01083815    -0.00788413     0.00728531     0.00307824    -0.00108754     0.00141919
 14    -0.00257780     0.01947132    -0.01466384    -0.00195457     0.00052363    -0.00077849
 15    -0.00376569    -0.01332828     0.00555703    -0.00154542     0.00076396    -0.00086725
 16     0.02105952     0.00822608     0.02469923     0.00597845    -0.00352030     0.00015007
 17    -0.01308583     0.00184844    -0.00517888    -0.00353355     0.00238778    -0.00000583
 18     0.00288753    -0.01238946    -0.01501977    -0.00251321     0.00158595     0.00024050
 19     0.00576629    -0.00408658     0.01577210     0.00403565    -0.00200496    -0.00254285
 20    -0.00240354     0.00117983     0.01023138    -0.00260225     0.00103494     0.00154654
 21    -0.00246200    -0.00164275    -0.02389337    -0.00173806     0.00086864     0.00147981
 22     0.02596040    -0.00056914    -0.02161171     0.00199571    -0.00060025    -0.00017534
 23    -0.01206425     0.00008073    -0.00197522    -0.00086128     0.00023890     0.00004170
 24    -0.01626440     0.00031892     0.03196365    -0.00112152     0.00035344     0.00001722
 25     0.00492877    -0.00690119    -0.00326672     0.00266360    -0.00192552     0.00035564
 26    -0.00490500     0.00141999    -0.00356335    -0.00171041     0.00113235    -0.00025957
 27    -0.00121058     0.00612362     0.00939863    -0.00129138     0.00102090    -0.00000710
 28    -0.00319528     0.02286670     0.03651335     0.00263870    -0.00035458    -0.00067939
 29    -0.00023284    -0.00483828    -0.01110390    -0.00118277     0.00022043     0.00022347
 30     0.00445003    -0.01625789    -0.02251591    -0.00150183     0.00008615     0.00027962
 31    -0.02457629     0.00052800    -0.00690607     0.00892175    -0.00698747    -0.00084065
 32    -0.00046159     0.00026789     0.00412466    -0.00392316     0.00241835    -0.00079696
 33     0.01403344     0.00376692     0.00284064    -0.00247219     0.00385658     0.00029296
 34     0.00268866    -0.01964714    -0.00046371     0.00231019    -0.00205639     0.00145730
 35    -0.00806199     0.00687031     0.00302142    -0.00113440     0.00094056    -0.00051283
 36     0.00413351     0.01585372    -0.00390144    -0.00091564     0.00103009    -0.00069695
 37    -0.00423334    -0.00341179     0.00734230     0.00153974    -0.00040659     0.00021306
 38    -0.02084125     0.00671069    -0.00891635    -0.00067010     0.00019176    -0.00012568
 39     0.02659620    -0.00456445    -0.00246886    -0.00088653     0.00026501    -0.00015311
 40    -0.03549043     0.00389533     0.00742946     0.00252822     0.00063104     0.00042730
 41     0.02490109    -0.00583175    -0.00995317    -0.00146130    -0.00044113    -0.00034877
 42     0.00751164     0.00137317     0.00326247    -0.00105839    -0.00028218    -0.00024088
 43     0.00971435     0.01213045     0.00866713     0.00645289     0.00074261    -0.00150189
 44    -0.01702305    -0.01471045    -0.01066076    -0.00354381    -0.00001678     0.00120636
 45     0.00916106     0.00035276    -0.00031065    -0.00250853    -0.00014881     0.00059800
 46    -0.00700469    -0.01429979     0.03459684     0.00817380    -0.00213227    -0.00429473
 47    -0.01386503     0.01107618    -0.01311395    -0.00340372     0.00043899     0.00289583
 48     0.01941599     0.00257375    -0.02447601    -0.00429295     0.00170869     0.00184811
 49    -0.04329750    -0.02397968     0.01474422     0.00348690     0.00011000    -0.00014006
 50     0.01194653     0.01365613     0.01091790    -0.00157175    -0.00019352    -0.00002501
 51     0.03383664     0.00891305    -0.02299917    -0.00212391     0.00002438    -0.00006312
 52    -0.01767264     0.02089121     0.02443822     0.00222399    -0.00087684     0.00043761
 53    -0.00050152    -0.00457806    -0.00638721    -0.00115481     0.00059017    -0.00021425
 54     0.01465702    -0.01495836    -0.01846002    -0.00124199     0.00043427    -0.00035393
 55     0.00325503     0.00327450     0.03784338     0.00210368    -0.00113033    -0.00059678
 56    -0.00632474    -0.01208514    -0.02240379    -0.00107781     0.00048616     0.00020508
 57     0.00173699     0.01084143    -0.01666059    -0.00108418     0.00050498     0.00040278
 58    -0.01821908    -0.00795343    -0.02201936     0.00354572     0.00126721     0.00154224
 59     0.00703764     0.00362027     0.00689179    -0.00194301    -0.00039924    -0.00088081
 60     0.01491745     0.00337179     0.01301091    -0.00221939    -0.00093301    -0.00080123
