 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.25603255    -0.02185721

 Atomic coordinates:
  1    -3.53764079     6.35946494     2.50905075
  2    -3.00100632     5.96007388     0.69676876
  3    -5.00166122     7.60103985     2.32370734
  4     1.45364085    -1.52649992    -8.26012981
  5     2.44680358    -0.08133232    -7.44853276
  6    -0.34819478    -1.04695763    -8.60040945
  7    -1.24481134     1.49380481     2.68838884
  8    -2.27390024     0.23550967     1.68605521
  9    -1.91645978     3.24527616     2.40515587
 10    -2.82218273    -3.97740583    -3.54879034
 11    -1.19927731    -4.91323574    -3.98985422
 12    -3.27491648    -2.90820572    -5.10844205
 13     0.83532127    -0.72887123     6.74865638
 14    -0.11220184     0.07783581     5.33869326
 15     0.03829976    -2.41771518     7.05405318
 16    -4.14726329    -2.23533475     0.89016768
 17    -6.03351531    -1.87220914     0.82032215
 18    -3.72361584    -2.73876994    -0.90033957
 19    -4.00568330    -1.15267931    -7.70386013
 20    -5.01101708     0.25701031    -6.96703791
 21    -5.11935824    -2.11237934    -8.87673729
 22     6.33406718    -2.72123411    -1.33643929
 23     8.13598553    -2.67757566    -0.79123064
 24     5.38459697    -2.66283636     0.38932155
 25    -0.32011148    -5.49126272     2.57543530
 26    -1.82436544    -4.41562613     2.21370274
 27    -0.30864413    -6.73353887     1.06662803
 28     3.95436040     1.10172675    -4.45116862
 29     5.19423454    -0.03976374    -3.49859030
 30     3.45607232     2.39951725    -3.13481715
 31    -8.81060288    -0.85482178    -0.96328737
 32   -10.26029235     0.00673944    -0.22778401
 33    -9.48599423    -1.92915054    -2.35233092
 34    -1.12846828    -5.53714124     7.59097531
 35    -0.92396757    -5.49990663     5.64307555
 36    -0.83917730    -7.22995856     8.21530892
 37     9.43163023    -3.12630779     3.13201818
 38     9.80572133    -2.51183337     4.84621215
 39     7.46562911    -3.19062356     3.27507318
 40     4.03715005     7.77045712     2.64630898
 41     2.60106262     7.70074198     3.86730780
 42     5.22701802     9.02515214     3.30172472
 43    -2.60541202     5.23897817    -2.27946307
 44    -3.75306505     4.18143523    -3.37542351
 45    -0.91880016     4.55176846    -2.67005738
 46    -6.40924781     2.44251786    -4.38362678
 47    -7.94975227     3.31133688    -5.15888406
 48    -7.05896078     1.33525151    -2.95812653
 49     2.82634246     3.94799518    -0.63539052
 50     3.40785373     5.56272694     0.23213860
 51     2.24982936     2.74323089     0.70294087
 52     4.28830281    -3.24312944     3.45211405
 53     2.79694615    -4.46084941     3.00782364
 54     3.47821069    -2.03905915     4.76022563
 55     2.52298928    -4.97072716    -4.44877566
 56     4.05707805    -4.22348022    -3.47414367
 57     2.19868562    -3.93256106    -6.03426942
 58     0.19631547     7.16194773     5.89528879
 59     0.45005653     5.66446034     7.02412154
 60    -1.28849679     6.51661550     4.79272195

 Atomic and electronic forces:
  1    -0.01352629     0.00537242     0.00052280     0.00345217     0.00185978     0.00233093
  2    -0.00024857     0.00335448    -0.00712358    -0.00202126    -0.00096714    -0.00096727
  3     0.01286608    -0.00916970     0.00408361    -0.00166400    -0.00129803    -0.00128752
  4     0.01150143    -0.00555061    -0.00244356     0.00346352    -0.00040436    -0.00071311
  5    -0.00970250    -0.00547270     0.00131939    -0.00161448     0.00003973     0.00023665
  6    -0.00268311     0.00714598     0.00509822    -0.00215443     0.00020052     0.00054547
  7     0.01785036     0.00254508     0.00592586     0.00346540     0.00025545     0.00201096
  8    -0.00820736    -0.00415234    -0.00145749    -0.00212645     0.00005083    -0.00116055
  9    -0.00884071     0.00346552    -0.00099417    -0.00183566    -0.00039967    -0.00107018
 10    -0.00393569     0.00168408    -0.01133248     0.00557309    -0.00200676     0.00080331
 11     0.00129739     0.00546161     0.00074379    -0.00215705     0.00085334    -0.00019101
 12     0.00828425    -0.00664038     0.00659387    -0.00324982     0.00089467    -0.00002849
 13     0.02230337    -0.00124625     0.01199994     0.00197559    -0.00016551     0.00156358
 14    -0.01142920     0.01302605    -0.01826429    -0.00122434     0.00003835    -0.00089937
 15    -0.00720713    -0.01117374     0.00960310    -0.00097470     0.00020491    -0.00083987
 16    -0.01059835     0.00487845     0.01629148     0.00517590    -0.00132026     0.00297958
 17     0.00202860     0.00103448     0.00085575    -0.00303326     0.00083758    -0.00211666
 18     0.00995827    -0.00962950    -0.01620145    -0.00286299     0.00080958    -0.00113904
 19     0.00983568    -0.00868317    -0.00141185     0.00738271    -0.00085051    -0.00177041
 20    -0.00544082     0.01498524     0.00903954    -0.00420145    -0.00008468     0.00084733
 21    -0.00399664    -0.00433357    -0.00754548    -0.00348186     0.00086510     0.00154333
 22    -0.02749899     0.00679243     0.02101492     0.00200327    -0.00030922     0.00035724
 23     0.01762258    -0.00252409     0.00022020    -0.00084739     0.00011940    -0.00015941
 24     0.00676833    -0.00395489    -0.02430306    -0.00103760     0.00016516    -0.00028696
 25     0.01103960    -0.03360755    -0.02167436     0.00265061    -0.00113438     0.00146590
 26    -0.01767372     0.02033386    -0.00323436    -0.00164918     0.00063890    -0.00096584
 27     0.00546186     0.01479469     0.02061507    -0.00136812     0.00070696    -0.00060820
 28     0.01390498    -0.01589840    -0.00469762     0.00276735     0.00011248     0.00008035
 29    -0.00790898     0.00195894    -0.00909011    -0.00121094     0.00002632    -0.00009209
 30    -0.00316950     0.00922182     0.00626595    -0.00142272    -0.00016322    -0.00014791
 31     0.02171057    -0.00496429    -0.01237465     0.00896034    -0.00214791     0.00681186
 32    -0.02452099     0.01585659     0.01883195    -0.00290636     0.00053202    -0.00387060
 33    -0.00086832    -0.01085712    -0.00652760    -0.00375626     0.00201862    -0.00254533
 34    -0.00494511     0.04029564    -0.02995749     0.00169813    -0.00081439     0.00169282
 35     0.00010331    -0.00871866     0.01944708    -0.00104272     0.00048028    -0.00085535
 36     0.00611942    -0.03340319     0.00906354    -0.00071952     0.00043683    -0.00074359
 37    -0.04407273     0.00085333     0.00105755     0.00133533    -0.00020634     0.00046407
 38     0.02224771     0.00592668     0.01541806    -0.00061242     0.00007743    -0.00025443
 39     0.02133480    -0.00768766    -0.01492626    -0.00076525     0.00013106    -0.00029550
 40     0.00358567    -0.01409086    -0.02483820     0.00178158     0.00073121     0.00074535
 41    -0.01910411    -0.00143852     0.01527836    -0.00092219    -0.00040586    -0.00048705
 42     0.01625837     0.01626906     0.00745006    -0.00074913    -0.00034012    -0.00032099
 43    -0.01297507     0.00156723     0.00264205     0.00489072     0.00197662     0.00105658
 44    -0.01367290    -0.00025672    -0.00162202    -0.00311958    -0.00109799    -0.00043979
 45     0.02968168    -0.00200840     0.00044203    -0.00214229    -0.00066256    -0.00036028
 46    -0.01740672     0.00336584    -0.01282692     0.01006063     0.00265744     0.00075413
 47     0.01478641    -0.00488606     0.00760401    -0.00440909    -0.00229993     0.00034242
 48     0.00197004    -0.00069898     0.00285833    -0.00489090    -0.00067617    -0.00133389
 49    -0.00376147     0.00561000    -0.00817555     0.00270541     0.00056383     0.00068307
 50     0.00078159     0.00026524     0.00643607    -0.00116945    -0.00034457    -0.00034267
 51    -0.00276679    -0.00205970     0.00943628    -0.00139874    -0.00019656    -0.00047945
 52    -0.02784101    -0.00267441     0.00494135     0.00191818    -0.00038901     0.00088675
 53     0.01926385     0.01594941     0.00483172    -0.00106861     0.00031223    -0.00050966
 54     0.00759765    -0.00817126    -0.00860768    -0.00096433     0.00013875    -0.00053825
 55     0.00941759     0.00052031     0.01683570     0.00284448    -0.00091060     0.00009952
 56    -0.01963632    -0.00589339    -0.01739920    -0.00125000     0.00031761    -0.00010525
 57     0.00813845     0.00587895     0.00185026    -0.00155469     0.00040501     0.00009435
 58    -0.01908658    -0.02205415    -0.00910418     0.00186235     0.00088485     0.00142113
 59     0.00953704     0.00126041     0.01050943    -0.00089357    -0.00032333    -0.00074265
 60     0.00946876     0.02222643     0.00100630    -0.00117116    -0.00055266    -0.00088417
