 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.25351646    -0.01936465

 Atomic coordinates:
  1    -4.23601651     6.38864696     0.43788573
  2    -3.54203036     5.89397364    -1.33390407
  3    -5.25396924     7.94483846     0.21539338
  4     0.98765650    -1.35653586    -7.00298036
  5     2.57602800    -0.41395153    -6.45546261
  6    -0.29182903     0.09463839    -7.39907483
  7     1.13135093     1.25711482     1.68091558
  8    -0.35632623     0.08689058     1.19386594
  9     2.43586571     0.26824110     2.54353971
 10    -4.91149547    -4.35781348    -3.20394711
 11    -5.87745365    -6.05259889    -3.37319944
 12    -5.96814836    -3.01926015    -4.23982103
 13     0.75201984    -2.96731323     7.94498863
 14    -0.64190654    -2.14333098     8.94815819
 15     0.11801876    -4.76945587     7.79850198
 16    -3.40551171    -1.75868164     1.39052060
 17    -4.58062716    -0.30985989     1.35882602
 18    -3.91883570    -2.81561129    -0.18728151
 19    -3.35357905     2.17378099    -7.52982434
 20    -4.68367498     1.01475513    -6.59165889
 21    -4.22643015     2.67565601    -9.14034637
 22     4.87468442    -2.29544123    -1.29970967
 23     3.32807882    -3.22127472    -1.87008630
 24     4.98475493    -2.13372307     0.56571083
 25     0.34645182    -5.27574815     2.43447192
 26    -0.88469640    -3.88711686     2.44208872
 27     0.67239713    -5.55303136     0.50719307
 28     4.89333268     1.14528800    -4.73491465
 29     5.33675136    -0.15193266    -3.42972371
 30     4.89506455     2.75192790    -3.75976820
 31    -6.64372839     1.71066157    -0.10749235
 32    -6.01342982     3.50409386     0.15555843
 33    -8.26772218     1.50752248     0.77517086
 34    -1.13123799    -7.86123897     6.79064925
 35    -2.18298693    -9.37355230     6.34027359
 36    -0.77467479    -6.89309075     5.16831999
 37     9.56834648    -3.03766441     3.78345021
 38    10.02635903    -2.05103587     2.28463691
 39     7.78103059    -2.81580850     3.94546793
 40     3.29707234     8.42002758     2.99055003
 41     1.59426897     7.73989032     3.48769723
 42     4.22444962     9.02113484     4.50609547
 43    -1.70384827     4.36084298    -3.29678547
 44    -2.06083478     3.61524411    -5.00731629
 45     0.15599568     4.01998601    -2.81551190
 46    -7.20108134    -0.03968691    -4.79767255
 47    -6.93129809     0.47715888    -2.98203630
 48    -8.99962544     0.36181029    -5.31414653
 49     3.80079396     4.87516944    -0.88227341
 50     3.74382736     6.39445625     0.26281482
 51     2.80369131     3.55393187     0.02616220
 52     4.25915660    -2.49547099     4.18728386
 53     2.87002893    -3.77155587     3.66721987
 54     3.93193353    -2.39661622     6.10217936
 55     0.48363985    -4.52984760    -2.89841769
 56    -1.41211209    -4.83022786    -2.91199476
 57     0.66497538    -3.53932627    -4.61788229
 58    -0.70349627     5.60346453     4.25405874
 59    -0.12238982     3.82323334     3.65323713
 60    -2.28875966     6.02448924     3.23456694

 Atomic and electronic forces:
  1    -0.00432890    -0.01385311    -0.00707736     0.00423215     0.00245949     0.00123809
  2     0.00533055     0.00101378     0.01669922    -0.00218954    -0.00110752    -0.00029255
  3    -0.00406689     0.01373980    -0.00273348    -0.00184339    -0.00154649    -0.00060277
  4    -0.02843497     0.02983653    -0.00333730     0.00328647    -0.00011592    -0.00079089
  5     0.00721975    -0.00213073     0.00186262    -0.00142847    -0.00002198     0.00027403
  6     0.01849539    -0.02794928     0.00438214    -0.00184806    -0.00009423     0.00051384
  7    -0.04287277     0.01320791    -0.02144109     0.00311210     0.00037277     0.00084680
  8     0.01801776     0.01073387     0.00892822    -0.00189831    -0.00011419    -0.00049249
  9     0.02149743    -0.02333150     0.01763241    -0.00134601    -0.00007685    -0.00041195
 10    -0.03355225    -0.00524062    -0.01609450     0.00644627    -0.00154372    -0.00027867
 11     0.01554504     0.02615111     0.00150414    -0.00286269     0.00141726     0.00021516
 12     0.02359281    -0.02179453     0.02033971    -0.00337451     0.00058446     0.00052697
 13    -0.01742953    -0.00260437     0.01069328     0.00211575    -0.00031755     0.00149922
 14     0.00840534     0.00722626    -0.00169675    -0.00105889     0.00011688    -0.00091053
 15     0.00838512    -0.00730150    -0.00350035    -0.00106698     0.00029676    -0.00078833
 16     0.01928858    -0.04548995    -0.02154699     0.00527883    -0.00027666     0.00170185
 17    -0.01774364     0.02558706    -0.00250503    -0.00291819    -0.00015196    -0.00100791
 18     0.00778101     0.01292998     0.01947304    -0.00289658     0.00037006    -0.00060554
 19    -0.02865218    -0.02983085     0.01362493     0.00479722     0.00100339    -0.00157196
 20     0.02628976     0.02353022    -0.01339108    -0.00285247    -0.00040771     0.00086150
 21     0.00409810     0.00282356    -0.00229159    -0.00221437    -0.00060889     0.00114664
 22     0.02245336     0.00603828    -0.00832346     0.00233951    -0.00017718     0.00018959
 23    -0.01276165    -0.00931408     0.00233544    -0.00136308     0.00017032    -0.00007530
 24    -0.00569704    -0.00598040     0.01600507    -0.00112735     0.00007675    -0.00019636
 25     0.02337676    -0.02818485    -0.03460517     0.00309144    -0.00083000     0.00106713
 26    -0.02793379     0.02766015     0.00450149    -0.00183053     0.00034984    -0.00066874
 27    -0.00033325     0.00037727     0.02738120    -0.00161614     0.00044380    -0.00034399
 28    -0.00486897     0.01112987    -0.02652286     0.00231191     0.00020272    -0.00020178
 29     0.00236756    -0.02113765     0.01158271    -0.00113712    -0.00002915     0.00002649
 30    -0.00056658     0.01979518     0.00729520    -0.00113697    -0.00018815     0.00004328
 31     0.00720856     0.00171001    -0.01055909     0.00727321     0.00182409     0.00174208
 32     0.00445665     0.00235435     0.00260719    -0.00295678    -0.00121409    -0.00084190
 33    -0.01841944     0.00249350     0.01352574    -0.00305731    -0.00102080    -0.00153151
 34    -0.00372761     0.00695699    -0.00059243     0.00215003    -0.00114838     0.00162073
 35     0.00250800     0.00057487     0.00040462    -0.00104215     0.00075264    -0.00083866
 36     0.00396410    -0.00495017    -0.00235564    -0.00130266     0.00055794    -0.00077263
 37     0.04299343    -0.01040017     0.00484479     0.00138664    -0.00014038     0.00039045
 38     0.01273093     0.00897196    -0.01701857    -0.00070565     0.00004167    -0.00015107
 39    -0.05619574     0.00091336     0.01269365    -0.00079348     0.00007694    -0.00024544
 40     0.01197827     0.00617324    -0.02017362     0.00181696     0.00088870     0.00060261
 41    -0.00917055    -0.00779438     0.00989141    -0.00104793    -0.00051848    -0.00041103
 42     0.00025869     0.00102273     0.00903703    -0.00077729    -0.00039096    -0.00031091
 43     0.02261919     0.00547209     0.02079347     0.00412866     0.00138297    -0.00007685
 44     0.00108079    -0.00670777    -0.01273679    -0.00217738    -0.00063679     0.00029911
